BSS,signal_strength,frequency,beacon_interval,SSID,channel_utilization
00:03:7f:81:48:55,-15.0,2412.0,100,REG-WDS-2G,0
00:03:7f:12:cb:cb,-27.0,2412.0,100,3link_mlo,0
00:03:7f:12:27:27,-21.0,2412.0,100,rdkb_alder,0
06:03:7f:12:27:27,-22.0,2412.0,100,rdkb_alder14,0
00:03:7f:81:48:90,-14.0,2412.0,100,rdkb_alder,0
00:03:7f:85:61:62,-22.0,2412.0,100,rdkb_alder,0
06:03:7f:12:49:49,-19.0,2412.0,100,rdkb_alder14,0
00:03:7f:81:48:23,-20.0,2412.0,100,rdkb_alder,0
00:03:7f:12:fe:fe,-18.0,2412.0,100,rdkb_alder,0
16:03:7f:12:fe:fe,-18.0,2412.0,100,rdkb_alder14,0
00:03:7f:81:48:19,-9.0,2412.0,100,rdkb_alder,0
16:03:7f:81:48:19,-7.0,2412.0,100,rdkb_alder14,0
02:03:7f:0d:b0:89,-58.0,2412.0,100,PRPLMESH-BH_2G,0
16:03:7f:81:48:55,-17.0,2412.0,100,rdkb_alder14,0
16:03:7f:81:48:90,-14.0,2412.0,100,rdkb_alder14,0
00:03:7f:04:33:13,-19.0,2412.0,100,rdkb_alder,0
16:03:7f:04:33:13,-19.0,2412.0,100,rdkb_alder14,0
00:03:7f:12:49:49,-20.0,2412.0,100,rdkb_alder,0
00:03:7f:12:0e:0e,-12.0,2412.0,100,rdkb_alder,0
06:03:7f:12:0e:0e,-15.0,2412.0,100,rdkb_alder14,0
00:03:7f:81:48:63,-13.0,2412.0,100,rdkb_alder,0
16:03:7f:81:48:63,-14.0,2412.0,100,rdkb_alder14,0
02:03:7f:0d:b0:88,-56.0,2412.0,100,PRPLMESH-FH_2G,0
16:03:7f:12:cb:cb,-25.0,2412.0,100,rdkb_alder14,0
02:03:7f:b1:2b:20,-29.0,2412.0,100,prplos_2g,0
16:03:7f:85:61:62,-37.0,2412.0,100,rdkb_alder14,0
16:03:7f:81:48:23,-22.0,2412.0,100,rdkb_alder14,0
02:03:7f:ac:6a:e0,-49.0,2412.0,100,PRPLMESH-FH_2G,0
02:03:7f:36:2e:f7,-53.0,2412.0,100,PRPLMESH-FH_2G,0
f0:ed:b8:1f:e7:c9,-65.0,2412.0,100,Airtel_3729,0
04:d9:f5:c1:79:d8,-58.0,2412.0,100,OpenWrt,40.3922
02:d9:f5:c1:79:d8,-59.0,2412.0,100,VAP_SSID,43.5294
02:03:7f:12:8f:8f,-39.0,6275.0,100,rdkb_alder16,0
02:03:7f:12:8f:80,-39.0,6275.0,100,rdkb_alder17,0
02:03:7f:12:8f:82,-39.0,6275.0,100,rdkb_alder23,0
02:03:7f:12:8f:81,-39.0,6275.0,100,rdkb_alder22,0
02:03:7f:81:a8:19,-29.0,6275.0,100,rdkb_alder16,0
02:03:7f:81:a8:1b,-29.0,6275.0,100,rdkb_alder22,0
02:03:7f:81:a8:1a,-29.0,6275.0,100,rdkb_alder17,0
02:03:7f:81:a8:1c,-30.0,6275.0,100,rdkb_alder23,0
02:03:7f:81:a8:23,-31.0,6275.0,100,rdkb_alder16,0
02:03:7f:81:a8:26,-31.0,6275.0,100,rdkb_alder23,0
02:03:7f:81:a8:63,-38.0,6275.0,100,rdkb_alder16,0
02:03:7f:81:a8:64,-38.0,6275.0,100,rdkb_alder17,0
02:03:7f:81:a8:66,-38.0,6275.0,100,rdkb_alder23,0
02:03:7f:81:a8:65,-38.0,6275.0,100,rdkb_alder22,0
02:03:7f:81:a8:55,-38.0,6275.0,100,REG-WDS-2G,0
02:03:7f:81:a8:57,-38.0,6275.0,100,rdkb_alder22,0
02:03:7f:81:a8:56,-38.0,6275.0,100,rdkb_alder17,0
02:03:7f:81:a8:58,-38.0,6275.0,100,rdkb_alder23,0
02:03:7f:01:55:38,-38.0,6275.0,100,3link_mlo,0
02:03:7f:01:55:3b,-38.0,6275.0,100,rdkb_alder23,0
02:03:7f:01:55:3a,-38.0,6275.0,100,rdkb_alder22,0
02:03:7f:01:55:39,-38.0,6275.0,100,3link_mlo,0
02:03:7f:41:19:32,-38.0,6275.0,100,rdkb_alder16,0
02:03:7f:41:19:35,-38.0,6275.0,100,rdkb_alder23,0
02:03:7f:01:56:50,-45.0,6275.0,100,rdkb_alder16,0
02:03:7f:01:56:53,-45.0,6275.0,100,rdkb_alder23,0
02:03:7f:01:56:52,-45.0,6275.0,100,rdkb_alder22,0
02:03:7f:01:56:51,-45.0,6275.0,100,rdkb_alder17,0
16:03:7f:04:33:10,-65.0,2412.0,100,rdkb_alder14,0
02:03:7f:16:99:ca,-64.0,2412.0,100,prplOS,0
00:03:7f:41:16:83,-29.0,5180.0,100,rdkb_alder1,0
16:03:7f:41:16:83,-29.0,5180.0,100,,0
00:03:7f:01:56:28,-28.0,5180.0,100,rdkb_alder1,0
16:03:7f:01:56:28,-27.0,5180.0,100,rdkb_alder15,0
ae:91:9b:57:2b:50,-80.0,5180.0,100,IOPSYS-AC919BB70528,0
02:03:7f:b1:2a:21,-41.0,5180.0,100,prplos_5g,0
02:03:7f:12:35:57,-82.0,5180.0,100,,0
00:03:7f:81:b8:19,-29.0,5180.0,100,rdkb_alder1,0
16:03:7f:81:b8:19,-29.0,5180.0,100,rdkb_alder15,0
ac:91:9b:b7:08:0d,-30.0,5180.0,100,IOPSYS-AC919BB70708,0
ae:91:9b:b7:08:0d,-31.0,5180.0,100,,0
02:03:7f:16:98:cb,-75.0,5180.0,100,prplOS,0
02:03:7f:0d:af:89,-68.0,5180.0,100,PRPLMESH-FH_5G,0
ac:91:9b:b7:05:1d,-55.0,5180.0,100,IOPSYS-AC919BB70418,0
04:d9:f5:c1:79:dc,-68.0,5180.0,100,OpenWrt,41.1765
00:03:7f:81:b8:55,-33.0,5180.0,100,WDS-REG-5G,0
16:03:7f:81:b8:55,-33.0,5180.0,100,rdkb_alder15,0
00:03:7f:01:53:90,-27.0,5180.0,100,3link_mlo,0
16:03:7f:01:53:90,-27.0,5180.0,100,rdkb_alder15,0
00:03:7f:01:53:72,-29.0,5180.0,100,rdkb_alder1,0
06:03:7f:01:53:72,-29.0,5180.0,100,,0
00:03:7f:81:b8:90,-27.0,5180.0,100,rdkb_alder1,0
16:03:7f:81:b8:90,-27.0,5180.0,100,,0
02:03:7f:36:2d:f8,-66.0,5180.0,100,PRPLMESH-FH_5G,0
02:03:7f:36:2d:f9,-65.0,5180.0,100,PRPLMESH-BH_5G,0
00:03:7f:12:da:da,-30.0,5180.0,100,rdkb_alder1,0
16:03:7f:12:da:da,-30.0,5180.0,100,rdkb_alder15,0
00:03:7f:81:b8:23,-27.0,5180.0,100,5G-FH-97,0
16:03:7f:81:b8:23,-29.0,5180.0,100,,0
00:03:7f:81:b8:63,-32.0,5180.0,100,rdkb_alder1,0
16:03:7f:81:b8:63,-31.0,5180.0,100,rdkb_alder15,0
02:03:7f:ac:69:e1,-67.0,5180.0,100,PRPLMESH-FH_5G,0
02:03:7f:ac:69:e2,-67.0,5180.0,100,PRPLMESH-BH_5G,0
ac:91:9b:b7:0f:7d,-59.0,5180.0,100,IOPSYS-AC919BB70E78,0
ae:91:9b:b7:0f:7d,-59.0,5180.0,100,,0
00:03:7f:81:b6:12,-37.0,5180.0,100,$VLAN_Test_13_CS,0
ac:91:9b:b7:06:2d,-78.0,5180.0,100,,0
ae:91:9b:b7:06:2d,-81.0,5180.0,100,IOPSYS-AC919BB70528,0
ac:91:9b:b7:07:35,-82.0,5180.0,100,,0
ae:91:9b:b7:07:35,-83.0,5180.0,100,IOPSYS-AC919BB70630,0
ac:91:9b:b7:07:6d,-77.0,5180.0,100,IOPSYS-AC919BB70668,0
00:03:7f:12:16:16,-86.0,5180.0,100,IOPSYS-5g,0
ae:91:9b:b7:08:85,-81.0,5180.0,100,,0
ac:91:9b:57:2b:50,-79.0,5180.0,100,,0
00:03:7f:12:35:57,-83.0,5180.0,100,IOPSYS-AC919BB70520,0
00:03:7f:12:23:23,-83.0,5180.0,100,link_5g,0
00:03:7f:12:8d:8d,-85.0,5180.0,100,IOPSYS_sniffer_5G,0
28:87:ba:00:c7:f0,-84.0,5180.0,100,Zilogic-B4-5G,0
ac:91:9b:b7:08:85,-81.0,5180.0,100,IOPSYS-AC919BB70780,0
ae:91:9b:b7:05:1d,-55.0,5180.0,100,,0
2a:87:ba:01:c7:f0,-84.0,5180.0,100,Zilogic-B4-2G,0
ae:91:9b:b7:07:6d,-83.0,5180.0,100,,0
06:03:7f:12:44:44,-72.0,5180.0,100,,0
02:03:7f:01:54:12,-40.0,6275.0,100,rdkb_alder16,0
02:03:7f:01:54:13,-40.0,6275.0,100,rdkb_alder23,0
16:03:7f:12:17:17,-64.0,2412.0,100,rdkb_alder14,0
1e:df:f0:cc:36:ed,-40.0,5200.0,100,rad_5g_ssid,16.8627
04:d9:f5:53:15:dc,-59.0,5200.0,100,Andromeda,43.1373
6c:5a:b0:c8:42:f3,-77.0,5200.0,100,IX-Dev(Wifi),0
84:9c:a4:a6:c1:b8,-79.0,5200.0,100,JioAirfiberA6,0
10:7b:44:5a:49:3c,-65.0,5240.0,100,ASUS_38_5G,0
f0:ed:b8:1f:e7:ca,-81.0,5765.0,100,Airtel_3729,1.5686
44:95:3b:c5:b6:81,-80.0,5805.0,100,RH-2.4G-C5B680,0.0
