Channel,Frequency,Ch_load,minsnr,Interference
4,2427,76,0,inf
3,2422,91,0,inf
4,2427,87,0,inf
10,2457,56,0,inf
10,2457,54,0,inf
2,2417,96,0,inf
8,2447,28,0,inf
8,2447,25,0,inf
10,2457,69,0,inf
2,2417,92,0,inf
2,2417,72,0,inf
3,2422,87,0,inf
1,2412,91,24,3.7916666666666665
1,2412,84,25,3.36
1,2412,99,31,3.193548387096774
3,2422,89,30,2.966666666666667
11,2462,57,22,2.590909090909091
4,2427,68,29,2.3448275862068964
7,2442,35,15,2.3333333333333335
7,2442,42,23,1.826086956521739
11,2462,66,37,1.7837837837837838
9,2452,38,23,1.6521739130434783
11,2462,57,37,1.5405405405405406
9,2452,35,23,1.5217391304347825
7,2442,30,24,1.25
8,2447,28,23,1.2173913043478262
6,2437,39,35,1.1142857142857143
9,2452,29,29,1.0
5,2432,46,55,0.8363636363636363
6,2437,30,45,0.6666666666666667
5,2432,33,58,0.5689655172413793
6,2437,17,34,0.5
5,2432,26,55,0.4727272727272727
