Frequency,SNR,RSSI,Neighbours,Ch_load,Interference
2432,73,-12,1,107.6923076923077,402.56410256410254
2437,-31,-77,1,48.57142857142857,37.840785169029445
5765,-13,-86,1,100.0,89.38053097345133
5320,57,-28,1,93.33333333333333,219.3798449612403
2442,8,-64,1,13.461538461538462,15.719063545150503
2412,18,-69,1,3.3444816053511706,5.298148299208744
5200,45,-39,1,0.9615384615384616,3.5664335664335667
2452,16,-68,1,102.85714285714285,123.63945578231292
5500,44,-33,1,5.016722408026756,10.744147157190636
5240,8,-75,1,0.0,1.0869565217391304
5180,92,-13,1,0.0,12.5
2462,25,-81,1,35.23809523809524,48.31746031746032
